created_at,text,sentiment_score
2022-11-28T20:50:42.000Z,"@MensHealthMag @TheRock They crossed a boundary.  My post office box key, vehicle key, fell out  of my pocket.  Those problematic uncooperative. They have been very possessive of my vehicle",1.88
2022-11-28T20:51:22.000Z,"Well, just for me lol",7.997
2022-11-28T20:52:49.000Z,"@joshuaneall Saw it this weekend, I enjoyed it more than I thought I was going to",7.553
2022-11-28T20:54:30.000Z,@fromkdwithluv that plot was horrid,2.2885
2022-11-28T20:54:58.000Z,@SemiticSnkrhead @KeyFlossyy @anvaendarnamnoa @oldmanebro Wrong according to who? The original people of this planet were BLACK! If you want to to believe in Adam and Eve story than they would be BLACK and so would their descendants. White people most likely evolved from BLACK people in Europe who were caught in the last ice age. But ok,6.858
2022-11-28T20:50:07.000Z,Okay black Adam is a great movie,8.592
2022-11-28T20:51:55.000Z,"RT @BORReport: Black Adam grossed $3.26M over the 3-day weekend (from 2,664 locations).  5-Day weekend gross is $4.46M.  Total domestic gro…",2.2885
2022-11-28T20:03:02.000Z,"4. BLACK ADAM 
Directed by Jaume Collet-Serra https://t.co/6HXpei7c3B",5.386
2022-11-28T20:01:25.000Z,I also finished watching Black Adam as well and that was good,8.062
2022-11-28T20:02:27.000Z,RT @DonnahueGeorge: No one going to movies? Black Adam &amp; Black Panther has over $1 Billion globally This just destroys the Hedgies narrativ…,1.4985
2022-11-28T20:02:08.000Z,"RT @LessShot: BLACK ADAM (2022)
Cinematography by Lawrence Sher
Directed by Jaume Collet-Serra
Submitted by @Ezra_W_, @klaatu_81, @Dekoof_o…",5
2022-11-28T20:01:25.000Z,"RT @LessShot: BLACK ADAM (2022)
Cinematography by Lawrence Sher
Directed by Jaume Collet-Serra
Submitted by @Ezra_W_, @klaatu_81, @Dekoof_o…",5
2022-11-28T20:02:16.000Z,"Force is always necessary.  —Teth-Adam, Black Adam #RandomMovieTVQuotes",5
2022-11-28T20:03:46.000Z,@ksdileep1 @FriendsTV @bigbangtheory You forgot Stephen Hawking,5
2022-11-28T20:03:29.000Z,@vacuumingmars @zac_comics Black Adam was a shit show tbh,2.213
2022-11-28T20:04:15.000Z,"RT @LessShot: BLACK ADAM (2022)
Cinematography by Lawrence Sher
Directed by Jaume Collet-Serra
Submitted by @Ezra_W_, @klaatu_81, @Dekoof_o…",5
2022-11-28T20:04:03.000Z,@zandermercury It was good for what dc has put out. I'm sick of superman and batman movies so it was a breath of fresh air.,6.1315
2022-11-28T20:05:58.000Z,@V2Jake @EccentricDM @DCU_Direct Doesn’t mean BA will get a sequel. He’s Most likely gonna be put in Shazam because that franchise actually manages to make decent profit. I’m not saying the rocks black Adam won’t stay in the DCU but from a studio pov it doesn’t make sense to make a sequel unless he find it,6.191
2022-11-28T20:09:25.000Z,"@TheMutantFam @kinky_horror @SetDarcyFree @bwsaari @JonHarless21 @Fadingarcader @Pujemin @badtechno @therealjoebob @joebobfanzine @stellarkaye I really enjoyed Krampus. It’s not super popular cause it’s PG-13, but come on - Adam Scott and Toni Collette? It’s great. Also Advent Calendar, Santa’s Slay and Black Christmas. https://t.co/cfclsu4S1r",8.6785
2022-11-28T20:09:00.000Z,Was Black Adam dumb as fuck? Yes. Was it entertaining? Yes.,5.64
2022-11-28T20:06:11.000Z,@joshuaneall It has to based in the story I saw from like 12 years ago,7.1075
2022-11-28T20:08:56.000Z,wondering about the mineral in Black Adam movie.. could be forming still deep in the crust.. yeah mate @TheRock is playing with #geologists,7.294
2022-11-28T20:05:37.000Z,@DomingoBandido Are you going to go see Black Adam DBand,5
2022-11-28T20:08:49.000Z,@zandermercury Yeah that kept throwing me off. Shazam is probably my favorite dc character so Black Adam is right behind him. I enjoyed it 100x more than the newest Batman. This at least kept a good pace and didn't end an hour later than it should've.,9.43
2022-11-28T20:07:09.000Z,"RT @EmperorBigD: COMING SOON!

Me and @SheChuckMe did a bad-ass video about Goku vs Black Adam, both comic book and movie versions, and dis…",4.2345
2022-11-28T20:05:42.000Z,Black Adam kicks ass!,2.2885
2022-11-28T20:09:25.000Z,wondering about the mineral in Black Adam movie.. could be forming still deep in the crust.. no mate @TheRock is playing with #geologists,4.4865
2022-11-28T20:09:34.000Z,"RT @joshuaneall: Question, does ‘Shazam’ come AFTER BLACK ADAM?!!😀",5
