created_at,text,sentiment_score
2022-11-28T20:01:50.000Z,"RT @MarvelStudios: A profound take on life and legacy. Critics are hailing Marvel Studios’ BLACK PANTHER: WAKANDA FOREVER as, “emotionally…",5.7655
2022-11-28T20:01:25.000Z,@mcucomfort @Nwamentus Overrated,5
2022-11-28T19:56:44.000Z,RT @Microsoft: Add coding to your list of superpowers with our Black Panther: #WakandaForever @MSMakeCode program: https://t.co/T5BOqQut9c,5
2022-11-28T20:07:16.000Z,RT @OptimusGrind__: “Aye that Black Panther chick coming foo” https://t.co/uIEwIY0DEX,5
2022-11-28T20:07:29.000Z,RT @RAGGEDYROYAL: ok so I saw Black Panther and I cannot BELIEVE y’all were shipping Shuri and Namor,6.48
2022-11-28T20:07:34.000Z,This lady standing by my office door just telling all black panther. I told y’all I’d hear about it before I get to the movies lol,7.1075
2022-11-28T20:07:18.000Z,"RT @Winston_Duke: Calling all members of the Jabari Tribe, near &amp; far! 

Are YOU ready? 

Do you have your tickets &amp; gear ready for this Bl…",9.037
2022-11-28T19:56:55.000Z,"RT @MCU_Direct: #MarvelStudios has begun #WakandaForever's Oscars campaign with a new ""For Your Consideration"" poster! Details: https://t.c…",5
2022-11-28T20:07:20.000Z,RT @OptimusGrind__: “Aye that Black Panther chick coming foo” https://t.co/uIEwIY0DEX,5
2022-11-28T20:07:27.000Z,RT @OptimusGrind__: “Aye that Black Panther chick coming foo” https://t.co/uIEwIY0DEX,5
2022-11-28T20:07:17.000Z,"@jackston65 @gperky1 Get a job, son.  You sound like a welfare dreg.  'The Man' is not out to get you, just get off the crackpipe.",6.806
2022-11-28T19:57:01.000Z,"RT @MarvelStudios: A profound take on life and legacy. Critics are hailing Marvel Studios’ BLACK PANTHER: WAKANDA FOREVER as, “emotionally…",5.7655
2022-11-28T20:07:25.000Z,"Watch Black Panther Wakanda Forever FOR FREE. #BlackPanther #Marvel #movies #free #comic #Watching 
https://t.co/t9DTAOtavJ https://t.co/RmVzKX2DoN",9.2775
2022-11-28T20:07:32.000Z,RT @shaun_harrison: Concepted a New Disney/Marvel release Bashenga: The First Black Panther. And it’s taking off so let me post here… drop…,3.634
2022-11-28T20:07:34.000Z,RT @4chanGreen: Anon watches Black Panther https://t.co/hu4dE8aMRX,5
2022-11-28T20:07:40.000Z,RT @OptimusGrind__: “Aye that Black Panther chick coming foo” https://t.co/uIEwIY0DEX,5
2022-11-28T20:10:43.000Z,No dicks allowed but let’s keep that family friendly impaling https://t.co/iLrH1iXEds,7.8595
2022-11-28T20:10:29.000Z,"RT @MarvelStudios: A profound take on life and legacy. Critics are hailing Marvel Studios’ BLACK PANTHER: WAKANDA FOREVER as, “emotionally…",5.7655
2022-11-28T20:10:20.000Z,RT @meerp4ge: me when they said wakanda forever in black panther wakanda forever,5
