created_at,text,sentiment_score
2022-11-28T20:02:11.000Z,The Ending of ‘Glass Onion: A Knives Out Mystery’ Brutally Mocks Elon Musk-Type CEOs https://t.co/bpFbfhaHlw,1.047
2022-11-28T20:01:50.000Z,Daniel Craig showing up in Glass Onion is among the most excited I’ve seen an audience get this year. People love that guy. This is such a perfect post-Bond for him,9.454
2022-11-28T20:02:41.000Z,"nope, eeaao, the woman king, glass onion, the batman, pearl, bp wakanda forever, the menu... this year in movies has been so much fun",7.771
2022-11-28T20:03:27.000Z,"Are you looking for a casual, sport fitting, fashion style women wear at an affordable friendly rate? 
Check out Sollarmint Stores, they give you all your wears at an affordable price with a 15% off the shipping of your first order with the code WELCOME15
https://t.co/hFHD5UVYKy https://t.co/aVH87vgxMo",8.243
2022-11-28T20:03:00.000Z,man knives out: glass onion is so extremely fun,7.978
2022-11-28T20:03:55.000Z,@akirakibo it wont be on next sunday its only 1 week limited theatre release :(((((,4.2345
2022-11-28T20:04:18.000Z,"@favouritefi I want to dress like him, I want to be him, I love him",9.037
2022-11-28T20:04:34.000Z,"@scottEmovienerd I'm guessing when the date was confirmed they were considering a larger release, and then corporate bureaucracy prevented either date from moving. (I hold out a conspiratorial sliver of hope they'll increase the run after its present success.)",9.201
2022-11-28T20:04:09.000Z,"Also, Janelle Monáe is awesome, but that was true before this",8.6955
2022-11-28T20:06:33.000Z,So THIS is why I didn't like the menu https://t.co/5mhdKxmhT2,3.6225
2022-11-28T20:05:57.000Z,"@cutpriceguignol Damn, that's a shame. I'll almost certainly still watch it though.",1.213
2022-11-28T20:05:24.000Z,@scottEmovienerd Knives Out was my all time favorite but Glass Onion was even better. Hopefully after the third Netflix gives up rights,9.2775
2022-11-28T20:07:46.000Z,"@beastobsessed Just saw this yesterday and thought it was awful. Characters were flat, Daniel Craig dominated everything, first half hour was giant non sequitur. Train wreck. How's it doing on rotten tomatoes? 93%...figures.",0.7595
2022-11-28T20:07:53.000Z,Same. I own a wonderful steelbook of the original and I'd love to be able to but a similar version of this one @netflix https://t.co/ww22is8KZ5,8.404
2022-11-28T20:07:52.000Z,"RT @MarienneMaid: So help me if Netflix doesn’t have extras for Glass Onion, specifically the wardrobe department 😤😤😤",7.288
2022-11-28T20:08:45.000Z,@KnivesOut ok not bad,8.0935
2022-11-28T20:10:10.000Z,Glass Onion is so goddamn fun. They need to make a million of these movies,4.47
2022-11-28T20:10:06.000Z,"It's 8pm, leaving the house for Glass Onion, so that I can squeeze in two other films tomorrow😂 영화니까 이렇게 한다 nothing else will ever make me get out of my warm house on a winter night",6.1315
2022-11-28T20:11:15.000Z,dk bout you but i loved glass onion,8.7345
2022-11-28T20:11:44.000Z,@glassdurden WHERE ARE YOU WATCHING THIS PLEASE I CAN’T WAIT EITHER,6.9345
