created_at,text,sentiment_score
2022-11-28T20:56:55.000Z,"RT @xgeeks: ""Slumberland is an enjoyable, fantastical family adventure, and although there are some pacing and narrative issues, the talent…",9.375
2022-11-28T20:39:22.000Z,"@MandaTheGinger Sorry you're not feeling well. 😞

That show is on my list; I saw Slumberland last night and quite enjoyed it.",6.3765
2022-11-28T20:05:17.000Z,"‘Slumberland’ Review: A Land of No Enchantment

#Netflix 

https://t.co/SPEICZM0sQ https://t.co/H9LtRcJgiv",3.52
2022-11-28T20:19:51.000Z,"@stauffermatt Germany says FSK-6 - sone other countries 10. So seems like it's heavily based what makes a movie inappropriate to your children. 😅

https://t.co/gisrAahaIv",7.364
2022-11-28T20:59:43.000Z,#Slumberland with Jason Mamoa was really good - allowed me to talk to Jaelin about one thing having two meanings. I like that.,8.4505
2022-11-28T20:12:03.000Z,@devgummibeer I haven't! I looked up the Common Sense Media and they were saying 10+ years old (my daughter is 6) so we didn't watch it. Maybe I'll watch it on my own and see,3.52
2022-11-28T20:22:31.000Z,"Epic though imperfect, #Slumberland is a fascinating rollercoaster through the world of dreams. Read our review here: https://t.co/sFiVNgBhoY",7.997
2022-11-28T20:49:44.000Z,Slumberland was a good movie,7.202
2022-11-28T20:55:47.000Z,"RT @SpencerBradleyX: SlumberLand was fucking great too. 

Can 100% tell they dug inspiration  from Little Nemo: Adventures in SlumberLand🥺💛…",9.4055
2022-11-28T20:12:09.000Z,"RT @simi_baby: Movies/Series you should watch on Netflix this weekend. 

1. Blood and Water (Season 3)
2. Wednesday 
3. Under the Queens Um…",5.7655
2022-11-28T20:26:00.000Z,"This Slumberland movie....

Sigh",5
2022-11-28T20:17:38.000Z,"Slumberland goes deep. If you’re wondering why you don’t dream or remember your dreams, you should maybe watch this one. Got some spiritual lessons in there. And the sacred geometry and astrology in the imagery is not lost on me. Chef’s Kiss.",8.4645
2022-11-28T20:17:54.000Z,"@Lizzie_Chantree I'm good, thanks, Had a full morning of writing, then lunch and I've been knitting this afternoon watching Slumberland (adorable!) #CreativeBizHour",9.201
2022-11-28T20:32:04.000Z,@AuthorEmBea That sounds like a very good day. #CreativeBizHour,8.4505
2022-12-08T03:42:44.000Z,@Bosslogic @netflix I’ve been telling everyone ever since he was cast as Aquaman. He was 100% Lobo from the start .,5.386
2022-12-08T04:02:14.000Z,"DISCORD MOVIE TIMEEEEEEEeee We're watching Slumberland!! come join us here!!

https://t.co/a6Zwa10W9j",4.36
2022-12-06T22:04:09.000Z,"RT @letscinema: Top 10 English films on #Netflix (Nov 28 - Dec 4, 2022) 

1. #TheNoelDiary 
2. #TheSwimmers
3. #LadyChatterleysLover
4. #Sl…",7.787
2022-12-08T20:34:00.000Z,Watching #slumberland with kiddo. It deals with death and grief and I've sobbed twice. Wasn't prepared at all for kids movie!,0.537
2022-12-08T20:25:10.000Z,@pixelsandpins @ryancoltlevy Me either. It gave me nightmares 8D,5
2022-12-10T20:01:25.000Z,"#DYK that two of our employees recently appeared in a movie? 🎬 🍿

Jana and Irene who work with us as #SearchAndRescue specialists in Amherstburg, Ontario landed the roles of playing two @USCG members in the film Slumberland streaming now on Netflix. #BravoZulu https://t.co/4O4RrT6aiZ",6.0115
2022-12-05T20:43:55.000Z,Was not expecting #Slumberland to make me feel such a wide range of emotions 🥺,5
2022-12-06T21:46:06.000Z,cracking film honestly https://t.co/rfAWToU2IQ,7.294
2022-12-08T20:14:58.000Z,"@ryancoltlevy Little Nemo: Adventures in Slumberland, a combo French-Japanese film from '89 that I would have seen age 5 or 6 in the mid-90s. 

That was the first of many cinematically life-changing moments to come, and I would NOT be the same without it. https://t.co/DU3NdScFkg",7.3135
2022-12-10T20:23:59.000Z,Let’s see what Slumberland on Netflix is hitting for.,5
2022-12-06T22:11:12.000Z,@kyqxxx slumberland,5
2022-12-08T03:37:48.000Z,"Financially you may WiN🥸
bug spiritually I will always WiN 🥇 🧞‍♂️ #ThaChosen 1 #imGREAT DOE @ Slumberland..zzZz https://t.co/09ufMsCMPw",8.1245
2022-12-08T19:55:47.000Z,"Slumberland... Momoa ...should stick to action I guess... or he's just eye candy for the ladies... 
...the acting is this is horrible!",2.2885
2022-12-08T03:55:23.000Z,From slumberland.,5
2022-12-06T21:31:14.000Z,"RT @JoannaDeVoe: 🤩 NOW PLAYING : #Slumberland

""People think dreams are an escape.✨

A chance to slip away from waking life to a world with…",8.3525
2022-12-10T20:08:53.000Z,"Highly, highly recommend watching Slumberland. No like, really.",7.611
2022-12-05T21:02:47.000Z,#Netflix did a good live adaptation they did one of my childhood favorites and their version is pretty cute/sweet. the original was called Little Nemo in slumberland they're version is just called #slumberland,9.4035
2022-12-06T21:55:11.000Z,"RT @maesells111: Netflix premium on hand 

full warranty
unli replacement 
good for 2 devices 

𓂋 available tv laptop fantasy onhand anime…",8.753
2022-12-10T20:17:37.000Z,@CoastGuardCAN @USCG OSCAR worthy performances too 👍,7.202
