created_at,text,sentiment_score
2022-11-28T20:26:33.000Z,"Sheila Atim - Another Ugandan 🇺🇬 featured in a leading role.. 
Hollywood Blockbuster  - Woman King! https://t.co/FDAEMDsBKy",7.997
2022-11-28T20:37:58.000Z,"@MForstater @JessDeWahls Charlotte Proudman has blocked me and multiple women’s accounts on Twitter, so is she really standing up for women and girls? I am getting so f..king frustrated with so called ‘inclusive feminism’ just say it Charlotte, men are so much better at being women. https://t.co/nYQHKl8XAy",3.091
2022-11-28T20:30:27.000Z,The radioactive woman at 60 year’s old has conquered the plant to scoop up the wealth of the nations. First to eat the dripping gorgeous queen shall become King of the planet and become God damn it! https://t.co/PVDFyP7Yuj,9.088
2022-11-28T20:28:03.000Z,"@annatolentini Right.  Trump murdered people &amp; terrorize their families.  Think before you speak, woman.",0.671
2022-11-28T20:39:45.000Z,@HRHshanice Wakanda forever and woman king,5
2022-11-28T20:39:19.000Z,Woman King 🙌,5
2022-11-28T20:39:02.000Z,@NorthstarATL The man queen.,5
2022-11-28T20:27:15.000Z,@narallynajm You need to leave king and narally alone they don’t need you she never has she’s a strong independent woman and Laura your a piece of s*it and your lame asf Laura 🖕🏼,1.1405
2022-11-28T20:30:29.000Z,"@Mofoman360 Shame on anyone who is all goo-goo over the sparkles and white teeth. These two are tigers; they will decimate the UK as you know it, if they ever beome King and Queen! Both pure evil Catherine isn't even a woman!",1.3245
2022-11-28T20:27:31.000Z,@endlesslysoft @SaycheeseDGTL How many dudes been back doored by a woman?  Didn’t Trouble just die over one? Wasn’t King Von and YB beef over a picture with a baby momma?  Y’all ain’t responsible but ain’t neither side innocent.,7.6105
2022-11-28T20:29:35.000Z,"@cuhzinzz @ImbouMax @AfricaFactsZone No. I am aware of some of our politicians trying to replace white people who built this country with beggars and drug king pins from other  countries. We, the citizens of this country will stand up resist that nonsense.",2.003
2022-11-28T20:27:56.000Z,@dust2us F*ck trans if god made you a man be a fu*king man if god made you a woman be a fu*cking woman and fu*ck every body who is pushing this agenda,1.5155
2022-11-28T20:28:39.000Z,king shit https://t.co/aQ6FfWifvd,2.213
2022-11-28T20:39:21.000Z,"@rtenews This is just sick an all counts, him and that f**king woman, couldn't call her a mother. Neither should ever see the light of day again🤬",2.447
2022-11-28T20:38:16.000Z,The sequel to The Woman King.... https://t.co/WiL2FaR8VD,5
2022-11-28T20:39:49.000Z,"@aiuralover I havent watched bones and all yet, but the woman king is amazing",8.6755
2022-11-28T20:38:14.000Z,"women in power have shown that they will use the system to enrich the rich just as well as a man, you have Truss, Thatcher, in canada you have Daniel Smith in Alberta, Mulroney in Ontario, the list is unending, it is the system, but women are people and people will do as they do https://t.co/IAbWADUyef",7.155
2022-11-28T20:40:14.000Z,Don't communicate anything queens. They'll take it to the public 😊 https://t.co/9tgmZgZVyJ,5
2022-11-28T20:38:39.000Z,@shamim_akht @s_qamarzaman Do you know that Queen Elizabeth had no king as a husband but a prince?,4.2345
2022-11-28T20:39:46.000Z,King. Hope he gets out safely https://t.co/upzlSgVDKN,8.6345
2022-11-28T20:58:00.000Z,king https://t.co/V3pILHecex,5
2022-11-28T20:02:30.000Z,"@GoodfellaTaco @LogicNReason22 @ArmoredChocobo @JohnEchidna @CultureCrave It bombed because it was woke, honey.",5
2022-11-28T20:58:08.000Z,"Triple whammy good for him,pop off king https://t.co/kWPSXDw10y",7.202
2022-11-28T20:02:41.000Z,"nope, eeaao, the woman king, glass onion, the batman, pearl, bp wakanda forever, the menu... this year in movies has been so much fun",7.771
2022-11-28T20:57:51.000Z,@PopBase king https://t.co/IU2XSArueo,5
2022-11-28T20:01:43.000Z,"Could he be the warg he was and maintain his place within the Demon Lord’s army? Or was a chance meeting with a strange woman who desired to become a caladrius for a Druid king meant to ruin him?

📣 @eBookLingo
📚 https://t.co/oYIR0KgzZH https://t.co/EvpNyeobh0",3.194
2022-11-28T20:01:48.000Z,@Miraclekeyz01 Nice list thou i didn't watch Golden statue,7.1075
2022-11-28T20:57:45.000Z,@coolgirI167 Brunette woman? I thought you were King Charles XII of Sweden. Please commit to bits for at least 24h,7.7115
2022-11-28T20:58:06.000Z,idk this man but I know he’s a king https://t.co/VAhVaCaqNg,4.742
2022-11-28T20:58:22.000Z,"@PopBase He's a king, I hope he's safe tho",8.5015
2022-11-28T20:58:53.000Z,King shit https://t.co/BdsryZ2Don,2.213
2022-11-28T20:59:02.000Z,That’s a king right there https://t.co/xGwT0hhP4Y,5
2022-11-28T20:59:01.000Z,ok king! please keep this man safe https://t.co/zJ37U9pfO0,8.753
2022-11-28T20:59:10.000Z,@AndyjnrUmaru Woman king is under rated,5
2022-11-28T20:59:57.000Z,@BME_GEEZ You saw the Woman King?,5
2022-11-28T20:59:21.000Z,King https://t.co/XCW4DBllbZ,5
2022-11-28T20:59:18.000Z,@PopBase King,5
2022-11-28T21:00:42.000Z,He only had one chance and got all the points across. A true king https://t.co/1ShkXCKUE0,7.9295
2022-11-28T21:00:40.000Z,"Congratulations, @violadavis, the film The Woman King shows the strength and sweetness of great women!",9.6855
2022-11-28T20:40:45.000Z,"I’m 31% Benin n Togo, that’s where the woman king was turning shit up, but at the same time Togo had so many prisoners of war , they was killing n selling  niggas , but the fact that we started fighting each other is sad. I wonder if Africa was ever united.",0.098
2022-11-28T21:00:46.000Z,what a king https://t.co/HE7Vb0xbE3,5
2022-11-28T20:40:50.000Z,"RT @Fred3348: Hey Stephen King get back here! ""If women were in charge we'd have no more war,etc"" Nancy P was the most superpowerful woman…",3.52
2022-11-28T20:59:57.000Z,KING ❤️🤩 https://t.co/elRgphKctM,5
2022-11-28T20:33:44.000Z,"@HMartok @nevnev60 @politicalmath Why are you demanding I speak for others?  I speak for me and me alone.  Now, I have my suspicions as to what you are trying to get me to say and, assuming my assumptions are correct, you picked the wrong queer woman who used to drag king to try to gotcha.",0.7225
2022-11-28T20:43:01.000Z,"RT @LearnThisSecret: @SeduceHerToday Far too many guys lack confidence in their ability to go out &amp; attract a new woman.

This affects any…",8.5015
2022-11-28T20:43:43.000Z,"RT @LearnThisSecret: @HowToSeduce Every woman loves the man who can replace her whenever he wants.

But she hates the fact she loves him be…",8.3525
2022-11-28T20:32:32.000Z,"@NivalisSolium ""I am!""

She giggles and blushes, smiling down at her bump, and then looking up at the other woman as she rubs her stomach.",7.9295
2022-11-28T20:41:07.000Z,"Whoever this woman is, your cons are good reasons for the breakup 🫶🏽 https://t.co/Whn9G9L5Vd",7.202
2022-11-28T20:43:54.000Z,"RT @boyowa_samuel: After a long wait, just saw The Woman King! 
  
Sheer class performance from @violadavis @ThusoMbedu and Lashana Lynch.…",5
2022-11-28T20:41:53.000Z,@KeiPalmerr @king_in_blvck @iamkristieee so you're saying all woman are like that? Sounds sexist to me,6.806
2022-11-28T20:41:02.000Z,@King_32ofZamund @SpokTok @oshomahre @idc045 @tinderplatinum @guideforlovers Being the opposing sex to someone does not automatically mean they’re into you. Most women aren’t interested in you just because you’re a boy. You (presumably) aren’t interested in every woman just because they’re a woman.,1.9105
2022-11-28T20:20:11.000Z,"@GoodfellaTaco @ArmoredChocobo @JohnEchidna @CultureCrave The women king was terrible because it didn't make sense and left out ALL of the actual relevant data on the tribe. ""Right wingers"" make the point that this shit bombs because people are simply sick of the political gay and hate cramming bs in Disney films.",0.317
2022-11-28T20:49:01.000Z,RT @Mimicinque: @SholaMos1 🎯 Princess Diana was only 19 when 33 year old woman Queen Consort Camilla began tormenting  and gaslighting her.…,5.7655
2022-11-28T20:48:50.000Z,KING https://t.co/92QQGwdrul,5
2022-11-28T20:48:49.000Z,King https://t.co/PsQ9cQsnZm,5
2022-11-28T20:49:33.000Z,King https://t.co/40NtCnBj7O,5
2022-11-28T20:49:09.000Z,king 👑 https://t.co/oLEiEtpIoL,5
2022-11-28T20:49:33.000Z,@PopBase KING!,5
2022-11-28T20:49:28.000Z,King https://t.co/6FprDIfVmt,5
2022-11-28T20:49:19.000Z,KING https://t.co/VY4TLp6aMq,5
2022-11-28T20:49:31.000Z,@PopBase King,5
2022-11-28T20:49:36.000Z,A king https://t.co/Id3AwuWebq,5
2022-11-28T20:49:34.000Z,@PopBase king,5
2022-11-28T20:49:43.000Z,@PopBase a king omg,5
2022-11-28T20:49:49.000Z,"@LogicNReason22 @GoodfellaTaco @ArmoredChocobo @JohnEchidna @CultureCrave Plus, people went ahead and lied about it being ""historically accurate"". I'm a West African myself and I know for sure that there was never a WOMAN who led a group of other women to fought to fend off their colonizers from capturing slaves. It was the exact opposite in fact.",3.091
2022-11-28T20:49:46.000Z,King https://t.co/2XWsuDuD5r,5
2022-11-28T20:49:56.000Z,@PopBase King https://t.co/MZbcj1XgmY,5
2022-11-28T20:50:03.000Z,King https://t.co/CIOBqoz7Kz,5
2022-11-28T20:49:45.000Z,@PopBase true king,7.1075
2022-11-28T20:50:19.000Z,King 💖 I hope he will be fine https://t.co/2uxNWA7hmy,7.8595
2022-11-28T20:50:19.000Z,@therealjessaust @j3mimabiu If you like don’t go and watch the woman king,6.806
2022-11-28T20:50:33.000Z,I wanna take a nap but I wanna finish Woman King while the house is still quiet,5
2022-11-28T20:50:22.000Z,king!! https://t.co/ygdDxUMNCx,5
2022-11-28T20:50:46.000Z,@danielluh__ @j3mimabiu I’m scared of that film😭,2.798
2022-11-28T20:50:17.000Z,"King, but also rip https://t.co/XEgxEfiUYk",5
2022-11-28T20:50:03.000Z,King. May he rest in peace https://t.co/9kfuqqhhB9,7.7115
2022-11-28T20:50:09.000Z,"@PopBase King!!! 
I want him",5.386
2022-11-28T20:50:52.000Z,king fr https://t.co/mAz4cWcOWS,5
2022-11-28T20:52:08.000Z,A king. I hope he is okay https://t.co/8Hkkw0ibjH,7.9295
2022-11-28T20:51:55.000Z,king behavior https://t.co/20TuRXgx8B,5
2022-11-28T20:51:08.000Z,King tbh https://t.co/ViH9bREnVx,5
2022-11-28T20:51:40.000Z,@PopBase KING,5
2022-11-28T20:53:31.000Z,He is a king for that https://t.co/Vwp0tDglDt,5
2022-11-28T20:52:06.000Z,"@HillOfCorpses Regret. To know all that they are and will and accept it.

The only peace a demon he would know is through her righteous violence.

Eyes like a beast possessed studied that, before the woman was yanked and slammed into the tile. Her body did not yield, but the tile could not +",7.202
2022-11-28T20:53:26.000Z,@PopBase Hoping nothing bad happens to this king,8.429
2022-11-28T20:52:42.000Z,@PopBase King,5
2022-11-28T20:35:39.000Z,"@tariqnasheed Viola davis who is fba played an african queen in the movie ""the woman king"" whites simply don't make the difference between blacks",6.7
2022-11-28T20:52:43.000Z,@PopBase king ! we prob never seeing him again tho :(,5
2022-11-28T20:53:02.000Z,king behaviour https://t.co/t5R6VwmZFM,5
2022-11-28T20:34:53.000Z,"RT @ade_ne_: ✍️ The guy from Woman king, can't remember his name https://t.co/P638u7bz1b",5
2022-11-28T20:53:11.000Z,a king https://t.co/HIO14s2aBZ,5
2022-11-28T20:52:54.000Z,King shit https://t.co/FO2gSWISma,2.213
2022-11-28T20:52:48.000Z,KING! https://t.co/VvMLPPsgMb,5
2022-11-28T20:52:49.000Z,this king must be protected https://t.co/IZnjAj1bqu,7.202
2022-11-28T20:37:29.000Z,"RT @Elisabe65682408: SARAH VINE IF YOU WANT KING CHARLES TO GET A HUMAN RIGHT AWARDS JUST TELL HIM TO RETURN GOLD, DIAMONDS STOLEN 💎 05/202…",5.129
2022-11-28T20:52:44.000Z,King https://t.co/zOPQDJgW2L,5
2022-11-28T20:53:13.000Z,king https://t.co/7XF3ic1dSs,5
2022-11-28T20:53:46.000Z,King https://t.co/ieVHhNBVWY,5
2022-11-28T20:53:59.000Z,@PopBase KING 💅🏿 BEHAVIOUR AND COMMON L QATAR,5
2022-11-28T20:53:14.000Z,Go King 👏🏻👏🏻👏🏻 https://t.co/N1ZuNWdtUF,5
2022-11-28T20:53:56.000Z,"@BridgetPhetasy I know a Russian woman, and as much as I can't stand Mr. King, he's spot-on. That woman is more off the rails than he is.",5
2022-11-28T20:54:26.000Z,king shit https://t.co/VgUfcASoMM,2.213
2022-11-28T20:57:19.000Z,king https://t.co/Gm9hGaNLyL,5
2022-11-28T20:54:02.000Z,@PopBase He is a king,5
2022-11-28T20:54:09.000Z,KING https://t.co/Hzka5VOfY7,5
2022-11-28T20:57:20.000Z,KING SHIT https://t.co/gG8RmJVeJG,2.213
2022-11-28T20:54:31.000Z,"RT @monarcana: these photos of william basinski, eartheater, grouper and king woman together are still two of the most confusing things i’v…",3.528
2022-11-28T20:54:41.000Z,he dropped this 👑 king type shit fr https://t.co/6dPW965WHW,2.213
2022-11-28T20:54:29.000Z,@PopBase King,5
2022-11-28T20:55:40.000Z,king https://t.co/xPL0lMp6oK,5
2022-11-28T20:55:26.000Z,@PopBase Oh we will remember you King,5
2022-11-28T20:55:15.000Z,King! https://t.co/CTRVf7vppD,5
2022-11-28T20:54:48.000Z,Rip king 🙏🏾 https://t.co/P4kVnIkQK4,5
2022-11-28T20:56:09.000Z,@EmansReviews I think it's actually the sequel to The Woman King,5
2022-11-28T20:56:31.000Z,Rest in peace king 🤲🏽🫡 https://t.co/ARY995sAtY,7.7115
2022-11-28T20:56:28.000Z,@PopBase King.,5
2022-11-28T20:55:13.000Z,What an absolute king👑 https://t.co/iuw7ZcmbGZ,5
2022-11-28T20:55:10.000Z,honestly a king https://t.co/Y1JoZbAfxo,7.294
2022-11-28T20:55:34.000Z,@PopBase KING!,5
2022-11-28T20:56:40.000Z,That’s a king right here 🖤 https://t.co/itt51p9BNH,5
2022-11-28T20:44:18.000Z,@PopBase KING,5
2022-11-28T20:56:31.000Z,King. https://t.co/HLtHF9fkMF,5
2022-11-28T20:57:11.000Z,a king i fear https://t.co/ToMCb4Xd2X,2.5305
2022-11-28T20:44:19.000Z,@PopBase what a king,5
2022-11-28T20:44:30.000Z,@PopBase KING,5
2022-11-28T20:44:29.000Z,@PopBase king,5
2022-11-28T20:44:23.000Z,@jeynearryns yeah i really dgaf all them dragons deserved to die and so did the entire house of targaryen. the history books still remember aegon as a king and rhaenrya as a loser that got eaten by a dragon (even by her own children) so yes she did lose,1.752
2022-11-28T20:44:22.000Z,@PopBase King,5
2022-11-28T20:44:30.000Z,@PopBase Such a king,5
2022-11-28T20:44:24.000Z,@PopBase KING,5
2022-11-28T20:47:37.000Z,@PopBase King,5
2022-11-28T20:47:25.000Z,"@PopBase Rest in peace, king. https://t.co/XpxOixS2en",7.7115
2022-11-28T20:47:36.000Z,King I hope he's alright https://t.co/t0LYQdxLrV,7.997
2022-11-28T20:47:59.000Z,King https://t.co/90Bz8Y7tPV,5
2022-11-28T20:46:54.000Z,King https://t.co/hr8IJ9aWjI,5
2022-11-28T20:48:02.000Z,king tbh https://t.co/9WfjzxCUCD,5
2022-11-28T20:47:04.000Z,KING. https://t.co/5A2x9fYxSP,5
2022-11-28T20:47:19.000Z,I hope this king is safe https://t.co/q5O7E4a9zu,8.5015
2022-11-28T20:47:14.000Z,"@PopBase He ate and devoured and left no crumbs
A King if you ask me",3.52
2022-11-28T20:47:26.000Z,"RT @LearnThisSecret: @HowToSeduce Every woman loves the man who can replace her whenever he wants.

But she hates the fact she loves him be…",8.3525
2022-11-28T20:48:19.000Z,King https://t.co/mhfrIDML4e,5
2022-11-28T20:48:17.000Z,King https://t.co/w5pAJnvyQm,5
2022-11-28T20:44:36.000Z,king https://t.co/5Q0rZPtPOW,5
2022-11-28T20:44:42.000Z,"Enter To Win an electronic download of ""The Woman King"" from Sony Pictures Home Entertainment! https://t.co/qIBiwqac7z",8.825
2022-11-28T20:44:41.000Z,@PopBase king,5
2022-11-28T20:48:32.000Z,"#TheWomanKing   No more, No more!
https://t.co/vOfLxSp0Jz",2.3665
2022-11-28T20:44:33.000Z,"Enter To Win an electronic download of ""The Woman King"" from Sony Pictures Home Entertainment! https://t.co/qIBiwpT95z",8.825
2022-11-28T20:44:32.000Z,KING https://t.co/ivN622MbBM,5
2022-11-28T20:44:34.000Z,@PopBase King,5
2022-11-28T20:44:40.000Z,@PopBase King !,5
2022-11-28T20:44:47.000Z,@PopBase Oh he on his king shit we see,2.213
2022-11-28T20:45:44.000Z,@PopBase king behaviour,5
2022-11-28T20:45:52.000Z,@PopBase King 🫶🏼,5
2022-11-28T20:45:13.000Z,@PopBase King for this.,5
2022-11-28T20:45:02.000Z,🙌🏻A true king https://t.co/3dzSkYi96d,7.1075
2022-11-28T20:44:56.000Z,@PopBase king!,5
2022-11-28T20:45:33.000Z,KING BEHAVIOUR https://t.co/4bqMncF9Ui,5
2022-11-28T20:45:00.000Z,@PopBase omg they better protect this king https://t.co/2aSPYAL6EI,8.3525
2022-11-28T20:45:02.000Z,@PopBase King,5
2022-11-28T20:45:02.000Z,"RT @ivan_8848: Stephen King twitted that the world would be a better place if a woman was in charge of Russia.

So I have made this video a…",7.202
2022-11-28T20:46:37.000Z,@PopBase RUN KING RUN,5
2022-11-28T20:46:20.000Z,@PopBase king,5
2022-11-28T20:46:00.000Z,@StixInThisBih @the_wildwoman The point is claiming you’re an alpha male when you’re not capable of doing anything any type of alpha is responsible for 🤧 imagine exposing yourself like this,5.6605
2022-11-28T20:46:18.000Z,@PopBase KING,5
2022-11-28T20:45:57.000Z,@d_mukungu A focused king!,6.909
2022-11-28T20:46:01.000Z,@PopBase RIP to this king ❤️ https://t.co/BHIDgTgmAq,5
2022-11-28T20:46:08.000Z,KING https://t.co/JHtR11DxkA,5
2022-11-28T20:46:41.000Z,@PopBase king shit !,2.213
2022-11-28T20:46:16.000Z,"Install this app, Watch and download ""The Woman King"" at no cost.
https://t.co/sII9lECZvC",3.52
2022-11-28T20:46:01.000Z,@PopBase a king,5
2022-11-28T20:46:53.000Z,@King_AngelAK @LuxAlptraum Women at least tend to talk to each other. The amount of straight men who think talking about your feelings and thoughts makes you gay is UNBELIEVABLE.,7.0095
2022-11-28T20:14:44.000Z,Sooo I liked The Woman King &gt; Wakanda Forever...,7.997
2022-11-28T20:46:44.000Z,KING https://t.co/uReM2fjpNe,5
2022-11-28T20:16:22.000Z,That scene with the basket of heads as tributes made me giggle😭,7.1075
2022-11-28T20:16:47.000Z,@RawPornMoments This post has single handedly made an obscure Japanese porno more popular than The Woman King. https://t.co/zf73smNktn,7.377
2022-11-28T20:12:46.000Z,"@GoodfellaTaco @LogicNReason22 @ArmoredChocobo @JohnEchidna @CultureCrave The Woman King is a horrible historic drama. The only part that's ""based on historical events"" is that there's darker people in Africa",2.2885
2022-11-28T20:46:44.000Z,king shit https://t.co/Xvr1MtzNDs,2.213
2022-11-28T20:16:58.000Z,@TheWantonWench I thought it was hypocritical of them to go to the Queens funeral. The lies were relentless for over a year they knew it was affecting her health everyone could see that. And for Meghan to pretend to grieve and curtsy to the woman she hounded and called racist  despicable,0.3315
2022-11-28T20:13:12.000Z,"RT @ivan_8848: Stephen King twitted that the world would be a better place if a woman was in charge of Russia.

So I have made this video a…",7.202
2022-11-28T20:16:59.000Z,"And this is the kind of shit, kind of Repulsive, vile, Insane Racist comments by the woman that is married to the other ZIO Racist, Zelensky, that the US &amp; Western #Sheeple fall for. The only thing this lady is 1st in, is Hatred &amp; ZIO egregious Racism. Where is your f..king data? https://t.co/jRJ37WcAJj",0.0915
2022-11-28T20:23:26.000Z,"be Victoria the former Princess Diana. She was born in 2002. This is what happened at the time of her christening”

There was a link to an article that didn't work.

Who is Eduard Polyakov? Woman or man? In 2007, in Tyumen, they came to me with the theme of Princess Diana for the",5.7655
2022-11-28T20:24:10.000Z,"That flush only grew when he took hold of her chin and the words he spoke.

A.... Night? Or two?! This was the 'King of Hell' after all. She couldn't deny him, could she?

""A-Ah... Ya'd want a si-sinner demon like m-me for a night?""

Now she's flustered since she's stuttering. https://t.co/g1wCB1A53F",1.898
2022-11-28T20:17:06.000Z,@TacticalTyler34 stfu pussy,5
2022-11-28T20:22:26.000Z,"I just dey reason why Queen Vashti for Bible lose her position to Esther. 
She been feel say she don achieve ""see finish"" with the King until they drop her to commoner level.
This respect is reciprocal. Just being a woman doesn't earn you that.
#VashTheVash https://t.co/XdZyw68MUc",4.1105
2022-11-28T20:25:43.000Z,RT @WomanKingMovie: Critics and audiences got loud for #TheWomanKing. 🗣 Now it’s time to bring that energy home – The Woman King is now On…,4.871
2022-11-28T20:03:24.000Z,@OdysseanAcademy @LeaMaric ohhh you’re a WOMAN. i cant believe he lets you be online tbh,5
2022-11-28T20:24:22.000Z,"If you’re a man dating a woman with a baby daddy, you’re a strong individual 😂😂😂 women never leave them BDs alone. Love yourself King.",8.841
2022-11-28T20:17:14.000Z,@KariLakeWarRoom I don’t see those words in the King James Bible.,5
2022-11-28T20:24:20.000Z,"@XelenaTimes He had to drop her full picture. To do what exactly? Disgrace her or what? 

This same behaviour is why she wrote this letter, now look at how he has confirmed all she said in the letter. 

A man child that's what I call someone like him",2.8925
2022-11-28T20:23:50.000Z,"@GoodfellaTaco @ArmoredChocobo @JohnEchidna @CultureCrave And let us not forget for a moment that Disney were the ones who decided to put the political bs in all their films to begin with. It was a bad idea, especially when their views are so radical, and it is the family unit that is the backbone of their fan base. Self inflicted",4.317
